ID#,AVG_EXTROVERT,AVG_AGREEABLE,AVG_CONSCIENTIOUS,AVG_NEUROTIC,AVG_OPEN,DENSITY
155,3.3,4.3,3.8,1.5,3.8,"9,680.9"
156,3,4.2,3.3,3.3,4.5,"3,606.8"
157,4.7,4.5,4.2,1.2,3.7,"5,926.7"
158,3.2,5,5,2,3.5,"7,478.8"
159,2.8,4,3.5,2.3,3.7,"4,840.6"
160,3,3.5,3.7,2.3,4.7,"19,356.5"
161,3.2,3.7,5,2.2,4.3,"3,852.1"
162,4.2,4.5,4.7,1.7,3.5,"8,971.0"
163,3.8,4.5,5,1.7,4.8,"8,192.6"
164,4.5,4,3.7,4,4.3,"14,870.3"
165,2.3,3.8,2.8,4.2,3.2,"5,470.1"
166,2.8,3.3,2.5,4.3,2.3,"13,557.8"
167,4.5,4.7,4.3,1.7,3.8,"11,776.8"
168,3.2,4,3.5,2.2,3.7,439.0
170,2.5,4.7,4.2,2.7,2.8,"8,778.0"
171,4,3.8,3.8,1.5,3.3,"13,874.4"
173,3.8,4.5,4.2,1.5,4.2,"6,337.8"
174,3.8,4.8,3.8,1.3,4.5,144.3
175,4.5,3.2,3.8,1.7,4.8,"3,775.4"
176,3.2,3.5,4.7,1.5,4,844.1
177,3,4.2,4.7,1.5,4.8,"2,295.3"
178,3.7,4.3,4.7,1.3,4.5,"4,124.7"
179,3.5,3.3,3.2,1.8,4.3,"1,051.2"
180,4,3.5,4,2.8,4.7,"6,356.3"
181,2.3,3.2,3.5,3,4,"4,993.7"
182,3.3,4.3,3.3,3,5,"5,648.0"
183,2.5,2.7,2.3,3.7,3.5,"20,004.0"
184,3.5,4.5,3,1.8,5,"9,301.8"
185,2.5,2.5,4,2.3,3.2,"8,054.8"
186,3.3,3.3,4.7,1.7,4.2,3.5
187,3.8,4.7,4.7,2.2,2.3,"17,558.8"
188,3.7,2.7,3.7,2.3,3.8,"1,150.1"
189,4.5,4.7,4.7,1.7,4.2,"5,688.0"
190,3.7,4.8,4.2,1,4.5,"6,716.9"
191,3.5,2.7,3.2,3.2,2.8,"7,475.8"
192,3.5,4.2,4.7,1.7,3.7,"7,259.0"
193,3.2,4.5,4.5,2.2,4.2,830.3
194,3.5,4,4.5,2.2,4.2,"1,030.5"
195,2.3,3.7,4,2,2.3,"4,172.8"
196,2.7,4.2,3.2,2.2,4.7,36.6
197,3.7,3.5,4.7,1.3,4.2,734.7
200,3.7,4.2,4.8,2,3.8,733.6
201,2.7,3.5,4.2,2.7,3.8,"4,519.7"
202,4.8,4.2,5,1.5,3.5,"4,619.6"
204,3.3,3,3.7,3,3.5,434.9
205,3.3,4,4.3,2,4.8,506.4
206,2.8,4.3,3.8,3.2,4.3,"15,794.4"
207,3.3,4.3,4.3,4,3.3,"9,846.5"
208,2.2,2.2,3.2,3.3,3,"5,648.0"
209,3.7,5,4.8,2.8,3.3,"3,000.6"
211,3.5,3.5,3.8,1.8,3,"1,216.0"
212,3,3.3,3,3.7,3.5,"1,516.4"
213,4.2,4.3,4.5,1.2,4.5,760.5
214,4,3.7,4.7,2.2,3.5,"5,191.6"
215,3.7,3.7,4.2,2.2,3.3,13.5
216,3.7,4.7,3.5,2.5,3.8,"4,411.3"
217,3,3,3,3,3,"4,630.0"
218,2.7,3.8,4.3,4.2,3.3,389.6
219,4.7,4,4.8,2.8,3.7,"9,415.2"
220,2.7,3.8,4.2,3.2,4.7,"4,997.0"
221,3.3,4.3,4.8,1.7,4.3,"6,556.0"
222,4.3,3.8,4.8,1.2,4.3,38.0
223,2.5,3.2,3,4.8,3.2,"4,555.9"
224,2.2,3.8,2.8,1.7,4.2,"3,556.4"
225,3.3,3.8,4,2.2,4.2,"9,419.7"
226,1.8,3.7,2.3,3.5,4.8,"4,411.3"
227,4.2,4.3,4,3.2,4.3,"26,164.9"
228,3,4.7,4.7,1,4.5,"6,783.4"
229,2.8,4.8,4.3,1.2,3.5,"2,462.3"
230,4.5,4.5,5,1.2,4,"4,171.9"
231,3.7,4.2,2.8,3.5,5,"5,162.3"
232,3,4.3,5,1.2,4.2,"4,446.9"
233,2.8,3.2,4.3,2.2,4.7,"6,014.2"
234,2.5,3.8,3.7,1,2.8,190.6
235,3.7,2.7,3.7,1.8,3.7,"10,860.3"
236,3.3,4.5,4.3,1,4.3,376.3
237,4.7,3.5,4.7,3.2,4.7,822.1
238,3,4.5,4.8,2.5,3.3,376.3
239,4.3,4.7,4.5,1.3,3.7,"5,688.4"
240,4,4.7,4.7,1.8,4.8,"4,553.4"
241,4.5,4,4.7,1.3,4.3,"1,593.5"
242,3.2,3.8,2.8,4.2,2.7,"9,301.8"
243,4.3,3.7,4.5,2.8,4.2,131.0
244,3.3,4.3,3.2,2,4.3,"3,291.7"
245,4.7,4.3,4.7,2.3,4.8,"2,062.2"
246,3.2,4.5,3,2.7,4.2,"14,640.3"
247,3.8,4,3.8,3.2,5,"3,064.9"
248,2.7,3.7,2.3,4,3.8,"23,314.1"
249,3.7,3.7,4.2,2,4.2,569.6
251,3.7,4,4.5,2.3,3.7,"9,899.0"
252,3,3.8,4,2.8,3.8,"13,440.3"
253,2.7,4.2,2.8,3,3.5,"5,349.1"
254,4,3.5,3.2,2.8,3.8,"22,798.8"
255,3.7,4.3,4.8,3,3.8,"21,665.0"
256,2.7,4,4,2.5,3,"22,617.6"
257,4,4.7,4.2,3,5,"3,796.4"
258,2.7,3.5,3.5,2.5,3.2,836.7
259,2.7,3.8,3.7,2.8,3.7,"3,556.4"
260,3.7,4.7,4,2.5,4.5,"1,856.4"
261,3.7,3.5,3.2,3,4,"7,263.6"
262,3.2,3.5,3.7,3,3.7,"15,638.4"
263,3.5,3.3,4,3.2,3.5,23.2
264,3.3,3.8,4,2,3.3,187.4
265,4.3,2.2,5,1.2,4,13.7
266,2.7,3,2.8,3.7,2.5,"31,851.2"
267,4.3,3.8,4.5,2,5,"3,926.9"
268,3.3,4.5,3.7,1.8,3.8,"3,237.1"
269,3.8,3.2,3.7,2.2,3.8,763.8
270,3,3.8,3.7,3,3.7,"14,374.2"
271,3.5,3.7,4.8,2.7,3.5,"3,208.5"
272,2.7,3.7,4.2,1.5,3.3,"1,623.8"
273,4.2,3.7,4.5,2.7,3.5,"8,170.3"
274,4,3.7,4.5,1.8,3.5,"8,277.2"
275,4.2,4,4.8,2.8,3,"3,869.5"
276,3.8,3.3,4.7,1.3,3.5,"3,231.7"
277,2.8,4.5,5,2.3,3.8,"3,770.5"
278,2.8,4,4,1.5,3.2,"3,338.8"
279,2.7,3.8,4,2.2,4,"6,128.7"
280,4.3,5,5,1.3,4.3,"3,959.2"
281,3.3,5,4.3,1.7,4.5,36.2
282,3.7,3.2,4.3,3.3,4.5,"6,686.6"
283,3.7,4.7,4.8,2.2,4.7,"1,650.2"
284,4.2,3.8,4.5,1.5,3.2,"1,285.4"
285,3.2,3.7,4.3,1.8,4,"1,829.0"
286,2.8,4.2,4.3,2.2,4.5,"4,624.7"
287,2.3,4.5,4.5,3.5,3.7,"4,172.8"
288,3.3,3.5,4.7,2.3,3.3,"1,456.7"
289,3,3.3,3.5,1.3,3.2,"7,365.8"
290,1.3,4,2.8,2,3.2,"2,787.4"
291,4.5,4.5,5,1,4.3,"3,362.0"
292,3.8,4.2,3.8,2.2,4.8,"1,150.1"
293,3.7,4.7,5,1.7,4.3,"8,053.9"
294,4.2,4,4.5,2.8,3.8,"8,362.9"
295,2.7,4.2,4,2.2,3.3,190.6
297,4.7,4.5,4.7,2.5,5,"6,572.4"
298,2.8,4.3,4.2,1.8,4.2,"7,184.6"
299,3.3,4,3.2,1.5,4.7,"36,343.1"
300,4.2,3.5,4.3,1.3,4.2,"30,494.4"
301,3.8,4.8,5,1.7,5,"6,096.1"
302,3,5,4.5,1.2,3.7,"3,464.1"
303,4.7,4.7,4.8,1,4.8,"4,741.5"
304,4,3.8,3.3,1.3,4.2,"6,450.5"
305,3.2,4,2.7,1.8,4.3,"7,613.6"
307,2.5,3.5,3.5,3.3,3,23.2
308,4.5,4.7,4.8,1.3,5,109.2
309,4.7,4.2,4.8,2,3.8,"4,630.9"
311,4.5,4.5,3.7,2.3,3,"1,049.1"
312,4.8,3.8,4.7,2.2,5,569.6
313,3.3,3.5,3.8,2,3.8,17.4
314,3,4.3,4.3,3.3,4.3,"5,173.6"
315,4.8,5,4.5,2.3,3.8,"5,697.8"
316,3.3,4.8,3.7,1.2,4.5,200.9
317,3.5,4.3,4.5,2,3.8,"9,652.8"
318,2.5,4.2,3.3,2.5,4,796.7
319,2.7,3.5,3.2,3,3.2,"4,096.2"
320,4,3.8,4,1.3,3.7,"3,396.0"
321,4.2,5,4.8,1,4,"1,501.5"
322,5,3,3.2,1,4.2,"11,964.2"
323,3.5,4.3,4.8,2.7,2.8,"23,100.6"
324,3,3,3,3,3,"5,091.7"
325,4.8,4.3,3.3,1.7,4.7,"7,576.7"
326,4,3.2,4.2,1.2,4.3,"1,796.3"
327,5,5,4.7,1.2,5,16.5
329,2.2,4,4.5,2.5,3.5,"7,452.8"
330,2.8,3.8,3.7,3.2,3.3,"10,413.0"
331,3.2,3.2,3.2,3.5,3,"13,750.3"
333,4.3,4.5,4.5,2.3,4.3,"6,625.4"
334,2,3.7,3.2,4,4.2,"23,561.1"
335,3.3,3.8,4.7,1.3,4,"6,128.7"
336,3.7,4.3,3,1.5,3.7,"7,950.6"
337,4.3,4.3,4.2,1.2,4.3,"8,134.0"
338,3.3,4,5,1.5,2.7,436.9
339,4.8,4,3.8,2.8,4.5,372.3
340,2.8,3.3,3.7,3,4.5,"26,164.9"
341,3.8,4,3.8,1.7,2.8,"7,142.1"
342,2.5,3.8,3.7,2.5,4,"2,601.9"
343,3.3,3.8,4.3,2,4,"4,374.0"
344,3.2,4.3,5,2,3.3,"12,256.1"
345,3.8,4,3.3,1.7,4,"7,672.3"
346,4.7,4.2,3.8,1.8,4.2,"2,460.5"
347,3,4.2,3.5,1.3,2.8,"13,284.2"
348,4,5,4.7,1.2,4.7,"5,151.5"
349,3,3.2,4.3,1.7,4,"8,689.1"
350,2.7,3.8,4.7,2.3,4.3,"4,926.1"
351,2.8,4.8,3.3,2.2,4.7,"4,453.1"
352,3.3,4.2,4.8,1.2,5,"4,525.8"
353,3.8,3.8,3.5,3.5,5,372.3
354,2.8,3.2,3.7,2.7,3.3,"3,959.2"
355,3.7,3.3,3.2,3.3,4,"13,089.8"
356,3,3.5,3.5,3,3.5,"5,091.7"
357,4.2,3,4.3,1,4.3,"4,197.4"
358,4.2,4.3,3.7,1,4.7,76.3
359,2.5,4.5,3.5,3.2,3,"6,028.0"
360,3.5,3.5,4.3,3.8,3.3,"6,395.2"
361,4,3.5,3.3,3.2,4.8,"3,231.7"
362,3.2,3.3,4.7,1,4,"7,608.7"
364,3.2,4.7,4,1.3,2.8,"2,783.5"
365,2.3,4.5,4.2,1,3.3,"4,753.2"
366,2.7,4.7,4.3,2.8,3.2,"19,003.2"
367,2.5,3.3,3.2,3.2,2.8,"4,172.8"
368,3,3.7,3.8,3.3,4.3,"27,615.1"
369,3.3,4.7,5,2.7,4,694.4
372,2.8,4.2,4.5,3.7,4.8,"8,677.7"
373,1.8,2.8,4.3,1.3,3.7,"7,533.6"
374,3.7,4.3,4.2,3.3,3.5,"9,170.5"
375,4.2,3.7,3.5,2.2,3.5,622.6
376,3.5,3.8,2.8,2,3.8,"4,453.1"
377,4.2,4.5,3.7,1.5,4.5,"6,176.2"
378,3,3.8,3.8,2.8,4.2,298.0
381,3.5,4.2,3.7,3.8,4.7,372.3
382,5,4.3,4.7,1.2,4.7,"1,150.1"
383,3.3,3.8,3.3,2,4,836.7
384,3.2,4.8,4.2,3,4.5,"8,943.8"
385,2.7,3.8,2.2,2.3,3.8,"6,378.5"
386,4.2,4.8,4,1.8,4.8,"2,021.5"
387,3,4,3.8,2.7,3.8,"6,921.7"
388,2.5,3.7,4.3,2.5,4.2,"7,137.3"
389,3.3,3.2,4.2,2.5,3.3,"10,325.4"
390,4.3,4.3,4.5,2.8,4.2,"7,137.3"
391,4.2,4,4.2,1.5,4.7,"4,172.8"
392,2.8,4.2,3.7,2,4.7,"21,326.1"
393,4.2,4.8,4.5,1.2,4.8,"20,639.2"
394,3.2,3.5,3.7,1,4,372.3
395,3.3,3.8,4.2,3.8,4.8,"7,137.3"
396,2.5,3.2,4.2,2.2,4,"6,523.6"
397,2.8,3.7,2.3,2.8,4.8,"1,642.8"
399,2.3,4.5,3.3,4.7,2.7,"1,498.4"
401,3.8,4,4.8,2.3,3.3,"4,656.1"
402,2.3,5,3.5,2.7,4.2,"5,183.9"
404,3,3.3,3.3,2.7,3.2,"9,266.8"
406,3.5,4.5,3.8,1.5,4.2,"21,326.1"
407,3,4.2,4,2.3,2.8,"1,359.9"
408,3,4.8,4.5,1,4.7,328.9
409,3.7,3.8,4.3,1.5,2.8,"1,642.8"
410,4.3,4.7,4.8,2.5,3.5,"1,359.9"
411,2.8,3.5,3.8,2.8,4,"5,351.4"
412,4.5,2.3,4.2,2.3,3.7,"8,247.3"
413,3.2,3.8,5,1.4,4.3,"3,474.3"
414,3.2,4.8,4.3,1.2,4.5,"7,688.3"
415,2.7,3.5,4.3,1.8,3.8,"22,617.6"
416,4.7,4.3,5,1,3.5,"1,216.0"
417,4.5,4.8,4.3,1,4.3,"6,301.1"
418,2.7,4.5,5,1.3,4,"1,216.0"
419,2.8,3,3.8,3.2,2.7,"15,461.4"
420,4.2,4,4.5,1.3,3.3,187.4
421,4.2,2.7,2.7,2.3,3.2,"1,555.7"
422,3.2,4.7,4.7,2.2,2.7,23.2
423,5,4.8,3.3,1.3,5,"13,824.4"
424,3.8,3.8,4.7,1.2,4.8,"1,424.8"
425,2.7,5,3.7,2.2,4.3,"8,039.9"
426,3,3,3,3.3,3.2,54.0
427,3.8,4.7,4.8,1.7,5,783.4
428,4,3.7,4.2,1.8,4.8,783.4
429,3.2,4.8,4.2,1.2,4.5,"5,417.6"
430,4.2,5,3.8,1.3,4.7,"5,277.8"
431,4,4.2,4.8,1.3,4.3,"15,877.1"
432,4.5,4.5,3.7,2.7,4.2,"5,351.4"
433,3.2,3.3,4.3,1.3,3.5,"15,782.9"
434,4.8,4.7,4.8,1.2,5,"22,740.4"
435,4,4.7,3.8,1.2,4.3,"2,002.0"
436,4.7,4.3,4.3,2,3.3,"5,825.5"
437,4.2,3.7,3.3,2.3,4.5,"9,092.1"
438,3,3.7,4.3,1,3.2,"32,082.7"
439,2.2,3.3,2.8,4.5,3.3,"7,908.8"
440,3.5,4.2,3.8,2.3,3.3,"10,752.7"
441,3.5,4.2,4.3,2.3,3.8,"1,782.0"
442,4.5,2.5,4.8,2.3,3.8,"18,079.3"
443,4.3,4.3,4.5,1.8,4.5,"11,700.6"
444,4,4,4.5,4,3.8,"9,092.1"
445,3.5,4.8,4.2,2.3,5,"3,907.5"
446,4.7,4.8,4.8,1,4.3,"9,092.1"
447,2.7,4.7,2.5,2.7,4.7,"5,340.7"
449,3.5,4.3,4.2,2,3.3,"23,030.5"
450,4.2,4.2,4.2,3.3,3.5,"11,769.6"
451,3,4.2,4.8,1.8,3.7,"9,941.4"
452,3,3.7,2.7,3.2,3.7,"3,480.3"
453,3.2,4.3,3.7,1.8,3.5,"11,776.8"
454,3.2,4.2,3.5,2,4.3,"2,796.0"
455,3.2,4.5,4.3,2.5,3.5,"3,095.9"
456,2.7,3.8,4,2.5,4.3,"15,381.3"
457,4.5,4.8,3.7,1.3,4.7,783.4
458,3.5,4.8,5,1,3,187.4
459,3.8,5,3.3,1,4,"9,941.4"
461,3.8,4,4.3,1.3,4.8,"22,762.1"
462,3.3,4.7,3.7,2.2,3.3,288.3
463,3.2,4.2,3.7,1.7,2.8,"20,690.9"
464,3.3,4.2,5,2.8,3.8,"9,941.4"
465,1.8,3.7,3.8,1.7,2.7,"8,534.4"
466,4.3,5,5,1,4.3,"16,220.4"
467,4.7,4.2,5,1.8,3,"8,914.3"
468,4.2,4.2,4,1.5,5,"1,983.8"
469,3.7,4,4,1.2,3.7,"22,199.9"
470,2.7,3.7,4,2.7,3.5,"12,538.1"
471,4.7,4.5,3.3,1.3,4,783.4
472,4.5,4.5,4.2,1.2,4.7,"24,094.4"
473,4.5,4.8,4.5,4.5,4.8,"27,777.8"
474,2.3,3.5,2.5,3.3,3.7,"27,334.1"
475,3.2,4.5,4,1.8,3.7,"5,417.6"
476,3.5,4.7,3.2,1.4,3.7,"3,875.1"
477,2.3,3.7,2.3,5,3.7,"8,653.7"
478,3.2,3.7,3.3,2.3,4.2,"5,040.1"
479,2.3,3.3,4,3,3.8,"15,461.1"
480,2.8,3.3,2.8,2.7,3.2,"15,362.0"
481,3.5,4,4.3,2,3.8,"6,372.4"
482,4.5,4.7,4,2.2,2.7,"6,686.6"
484,3,3.2,4.7,3.5,4.8,"7,137.3"
485,2.8,3.2,2.7,3.5,4.3,"13,058.2"
486,3.8,3.7,3,2.3,4.2,"1,610.0"
487,4.7,4.3,4.7,1.8,4.3,"1,775.4"
488,3.8,4.3,3.8,2.7,4.8,426.7
489,4.2,4.2,4.3,2,4.7,"6,518.9"
490,3,3.8,5,2.8,3,"5,417.6"
491,3.3,4,3.8,1.5,4.3,"4,399.2"
492,1.7,4.5,3.5,3,3.3,"7,439.6"
493,3.2,3.8,3.5,3.2,3.7,"20,870.8"
494,3.5,3.2,3.8,4.3,3.5,"21,368.0"
495,3.8,3.7,5,1.5,4.7,"6,584.3"
497,4.8,3.8,4.8,1.8,3.5,"11,776.8"
498,3.8,4.2,4.8,1.5,4.3,"6,128.7"
499,3.8,4.3,3.8,2.5,4,"27,483.6"
500,5,4.8,4.7,1.3,3.8,"20,399.5"
501,2.8,4.5,4,2.2,4.3,"11,776.8"
503,2.7,3.5,3.2,3.3,4.5,"9,382.8"
504,2.7,3.7,3.3,3.2,3.7,"4,838.7"
505,3.7,4.7,3.2,2.5,2.3,"16,651.8"
506,3.3,3.3,4,3.2,3,187.4
507,4.3,3.3,3.7,2,3.2,"5,112.8"
508,4.3,4.5,5,1.3,3.8,"29,724.8"
